k_date,title,place,lat,lon,url_link,start_date,end_date,area,category,dt
20240101 ~ 20241231,남산봉수의식 등 전통문화 재현행사,"서울 남산봉수대, 서울 남산 팔각정, 서울 보신각",,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=25940834&qvt=0&query=%EB%82%A8%EC%82%B0%EB%B4%89%EC%88%98%EC%9D%98%EC%8B%9D%20%EB%93%B1%20%EC%A0%84%ED%86%B5%EB%AC%B8%ED%99%94%20%EC%9E%AC%ED%98%84%ED%96%89%EC%82%AC,20240101,20241231,,,
20240101 ~ 20241231,한국의집 고호재,한국의집 소화당,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=32192179&qvt=0&query=%ED%95%9C%EA%B5%AD%EC%9D%98%EC%A7%91%20%EA%B3%A0%ED%98%B8%EC%9E%AC,20240101,20241231,,,
20240101 ~ 20241231,별빛이 흐르는 정원,퍼스트가든 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=9068479&qvt=0&query=%EB%B3%84%EB%B9%9B%EC%9D%B4%20%ED%9D%90%EB%A5%B4%EB%8A%94%20%EC%A0%95%EC%9B%90,20240101,20241231,,,
20240501 ~ 20250430,낭만등불축제,산들소리,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=32734076&qvt=0&query=%EB%82%AD%EB%A7%8C%EB%93%B1%EB%B6%88%EC%B6%95%EC%A0%9C,20240501,20250430,,,
20240529 ~ 20250531,K-푸드 페스티벌 넉넉,세종로공원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34133887&qvt=0&query=K%20%ED%91%B8%EB%93%9C%20%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C%20%EB%84%89%EB%84%89,20240529,20250531,,,
20240430 ~ 20250501,낭만등불축제,산들소리,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=29667931&qvt=0&query=%EB%82%AD%EB%A7%8C%EB%93%B1%EB%B6%88%EC%B6%95%EC%A0%9C,20240430,20250501,,,
20230508 ~ 20241130,문화가 흐르는 서울광장,서울광장 야외무대,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=26413245&qvt=0&query=%EB%AC%B8%ED%99%94%EA%B0%80%20%ED%9D%90%EB%A5%B4%EB%8A%94%20%EC%84%9C%EC%9A%B8%EA%B4%91%EC%9E%A5,20230508,20241130,,,
20230101 ~ 20241231,서울 왕궁수문장 교대의식,서울 덕수궁 대한문,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=25568234&qvt=0&query=%EC%84%9C%EC%9A%B8%20%EC%99%95%EA%B6%81%EC%88%98%EB%AC%B8%EC%9E%A5%20%EA%B5%90%EB%8C%80%EC%9D%98%EC%8B%9D,20230101,20241231,,,
20230101 ~ 20241231,태안 빛축제,네이처월드,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=1980366&qvt=0&query=%ED%83%9C%EC%95%88%20%EB%B9%9B%EC%B6%95%EC%A0%9C,20230101,20241231,,,
20220101 ~ 20241231,오크밸리 3D 라이팅쇼 '소나타오브라이트',소나타 오브 라이트,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=9287529&qvt=0&query=%EC%98%A4%ED%81%AC%EB%B0%B8%EB%A6%AC%203D%20%EB%9D%BC%EC%9D%B4%ED%8C%85%EC%87%BC%20%EC%86%8C%EB%82%98%ED%83%80%EC%98%A4%EB%B8%8C%EB%9D%BC%EC%9D%B4%ED%8A%B8,20220101,20241231,,,
20220402 ~ 20251231,광안리 M(Marvelous) 드론 라이트쇼,광안리해변 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31649158&qvt=0&query=%EA%B4%91%EC%95%88%EB%A6%AC%20M%20Marvelous%20%EB%93%9C%EB%A1%A0%20%EB%9D%BC%EC%9D%B4%ED%8A%B8%EC%87%BC,20220402,20251231,,,
20240829 ~ 20240901,괴산고추축제,괴산유기농엑스포광장 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=19317940&qvt=0&query=%EA%B4%B4%EC%82%B0%EA%B3%A0%EC%B6%94%EC%B6%95%EC%A0%9C,20240829,20240901,,,
20240831 ~ 20240908,무주반딧불축제,무주등나무운동장 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=19356638&qvt=0&query=%EB%AC%B4%EC%A3%BC%EB%B0%98%EB%94%A7%EB%B6%88%EC%B6%95%EC%A0%9C,20240831,20240908,,,
20240814 ~ 20240818,전주세계소리축제,한국소리문화의전당,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=1908155&qvt=0&query=%EC%A0%84%EC%A3%BC%EC%84%B8%EA%B3%84%EC%86%8C%EB%A6%AC%EC%B6%95%EC%A0%9C,20240814,20240818,,,
